text,date
"Grusha, Marty and Tal's <a href='https://arxiv.org/abs/1909.10579'>paper</a> on syntactic priming for studying neural network representations is accepted to CoNLL.","August 28th, 2019"
"Marty, <a href='https://aaronmueller.github.io'>Aaron Mueller</a>, and Tal's <a href='https://arxiv.org/abs/1909.00111'>paper</a> on data efficiency of neural network language models is accepted to EMNLP.","August 13, 2019"
"Tal is giving a keynote talk at the <a href='http://fg.phil.hhu.de/2019/index.html'>Conference on Formal Grammar</a> in Riga","August 11, 2019"
"Tal is participating in the <a href=https://lorentzcenter.nl/lc/web/2019/1120/info.php3?wsid=1120&venue=Oort'>Workshop on Compositionality in Brains and Machines</a> in Leiden","August 5-9, 2019"
"Tal is co-organizing the <a href='https://blackboxnlp.github.io/'>BlackboxNLP 2019</a>workshop at ACL","August 1, 2019"
"Karl Mulligan joins the lab as a PhD student, and Junghyun Min joins the lab as a Masters student","July 2019"
"Tal and <a href='https://www.cs.bgu.ac.il/~yoavg/uni/'>Yoav Goldberg</a> were awarded a grant by the US-Israel Binational Science Foundation.","July 2019"
"Keynote talk at the Workshop on Evaluating Vector Space Representations for NLP (<a href='https://repeval2019.github.io/program/'>RepEval</a>) at NAACL. <a href='http://tallinzen.net/media/papers/linzen_repeval_2019_slides.pdf'>Slides</a>.","June 6, 2019"
"Tal gave talks at Waseda University and the RIKEN Institute in Tokyo","May 24, 2019"
"<a href='https://arxiv.org/abs/1902.01007'>Paper</a> on syntactic heuristics in neural language inference systems accepted to ACL","May 13, 2019"
"Upcoming keynote talk at <a href='https://ttic.uchicago.edu/~kgimpel/MSLD2019.html'>Midwest Speech and Language Days</a>","May 3, 2019"
"Upcoming <a href='https://psych.princeton.edu/event/tal-linzen-johns-hopkins-university'>talk</a> at the Cognitive Talk Series at Princeton","April 24, 2019"
"Tal gave a talk at the <a href='http://complang.mit.edu/'>CompLang</a> seminar at MIT","April 18, 2019"
"Tal received a <a href='https://cogsci.jhu.edu/2019/03/13/two-google-faculty-research-awards/'>Google Faculty Research Award</a>","March 13, 2019"
"Tal gave LTI colloquium talk at Carnegie Mellon University","February 8, 2019"
"Grusha had two abstracts accepted for CUNY 2019, one with Tal and the other with Tal and Marty","January 25, 2019"
"Marty gave a presentation at SCiL","January 4, 2019"
"Tal gave talks over winter break at Yale Linguistics (December 10), Microsoft Research Redmond (December 13), Allen AI Institue (December 14), and Google New York (January 7).","December 2018 - January 2019"
